Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[django] GET /admin/,95,95,3,5.654398795511377,1.839539036154747,50.62453600112349,0.0,3.2744348132616117,3.2744348132616117,3,4,4,5,8,28,33,51,51,51,51
GET,[django] GET /api/events/,379,379,3,4.865523095987245,1.9206670112907887,53.60209196805954,0.0,13.063271518170009,13.063271518170009,3,4,4,5,6,8,38,47,54,54,54
GET,[django] GET /api/events/{id}/seats,208,208,3,5.424819659450664,2.0103290444239974,55.08280999492854,0.0,7.169288854299108,7.169288854299108,3,4,5,5,7,16,30,40,55,55,55
GET,[fastapi] GET /api/events/,299,299,3,5.386657040273415,1.9315649988129735,49.83420891221613,0.0,10.305852728054967,10.305852728054967,3,4,4,5,8,23,44,47,50,50,50
GET,[fastapi] GET /api/events/{id}/seats,150,150,3,5.338543851394206,2.1044069435447454,43.86940796393901,0.0,5.170160231465703,5.170160231465703,3,4,5,5,8,19,38,38,44,44,44
POST,[fastapi] POST /api/bookings/,241,241,3,4.724252369077065,2.0085229771211743,43.75894495751709,0.0,8.306724105221562,8.306724105221562,3,4,5,5,7,10,24,36,44,44,44
GET,[pure] GET /api/events/,206,206,3,5.812775793494385,1.9046699162572622,43.087092926725745,0.0,7.100353384546231,7.100353384546231,3,4,5,5,8,26,38,39,43,43,43
GET,[pure] GET /api/events/{id}/seats,135,135,3,4.8182471957126705,1.788201043382287,43.95301092881709,0.0,4.653144208319133,4.653144208319133,3,4,4,5,7,9,38,40,44,44,44
POST,[pure] POST /api/bookings/,332,332,3,5.081582621247676,2.086673048324883,50.20521208643913,0.0,11.443287978977422,11.443287978977422,3,4,5,5,7,12,38,41,50,50,50
POST,[slow-bot] POST /api/bookings/,246,246,4,7.526287468286549,1.921436982229352,75.3359809750691,0.0,8.479062779603753,8.479062779603753,4,4,6,7,23,37,43,44,75,75,75
,Aggregated,2291,2291,3,5.432539421279229,1.788201043382287,75.3359809750691,0.0,78.9655806019195,78.9655806019195,3,4,5,5,7,16,38,44,55,75,75
