Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773660427,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773660428,20,,Aggregated,0.000000,0.000000,44,47,47,50,53,54,55,55,55,55,55,26,26,43,35.604094468558635,2.578763058409095,55.08280999492854,0.0
1773660429,40,,Aggregated,0.000000,0.000000,40,44,44,45,51,54,74,75,75,75,75,66,66,39,28.8969968607875,2.5681910337880254,75.3359809750691,0.0
1773660430,60,,Aggregated,20.000000,20.000000,6,29,41,43,47,51,55,74,75,75,75,123,123,6,20.76282754362508,1.9315649988129735,75.3359809750691,0.0
1773660431,80,,Aggregated,25.500000,25.500000,4,25,27,37,44,47,54,74,75,75,75,195,195,4,16.719150934248972,1.9315649988129735,75.3359809750691,0.0
1773660432,100,,Aggregated,33.666667,33.666667,4,24,27,33,41,44,51,55,75,75,75,291,291,4,15.150072003468308,1.9315649988129735,75.3359809750691,0.0
1773660433,100,,Aggregated,41.250000,41.250000,4,5,24,27,39,44,50,54,75,75,75,378,378,4,12.474671457697042,1.9315649988129735,75.3359809750691,0.0
1773660434,100,,Aggregated,50.800000,50.800000,4,5,7,25,38,44,47,53,75,75,75,457,457,4,10.984516616490888,1.9315649988129735,75.3359809750691,0.0
1773660435,100,,Aggregated,54.000000,54.000000,4,5,6,11,36,42,47,51,75,75,75,543,543,4,9.90209017574108,1.921436982229352,75.3359809750691,0.0
1773660436,100,,Aggregated,58.571429,58.571429,4,4,5,6,30,41,47,51,75,75,75,628,628,3,8.986970723404959,1.921436982229352,75.3359809750691,0.0
1773660437,100,,Aggregated,61.250000,61.250000,3,4,5,6,27,39,44,50,75,75,75,709,709,3,8.44562150539938,1.9046699162572622,75.3359809750691,0.0
1773660438,100,,Aggregated,64.666667,64.666667,4,4,5,6,26,39,44,50,75,75,75,791,791,4,8.048993895476737,1.9046699162572622,75.3359809750691,0.0
1773660439,100,,Aggregated,65.500000,65.500000,4,4,5,6,25,38,44,48,75,75,75,875,875,4,7.774717172474733,1.788201043382287,75.3359809750691,0.0
1773660440,100,,Aggregated,72.300000,72.300000,4,4,5,6,24,38,44,47,75,75,75,963,963,4,7.384528600110799,1.788201043382287,75.3359809750691,0.0
1773660441,100,,Aggregated,77.700000,77.700000,3,4,5,6,22,37,44,47,74,75,75,1039,1039,3,7.077398037679558,1.788201043382287,75.3359809750691,0.0
1773660442,100,,Aggregated,80.800000,80.800000,3,4,5,5,14,35,44,47,74,75,75,1137,1137,3,6.7779296885630345,1.788201043382287,75.3359809750691,0.0
1773660443,100,,Aggregated,83.100000,83.100000,3,4,5,5,11,30,43,47,74,75,75,1218,1218,3,6.563527386464264,1.788201043382287,75.3359809750691,0.0
1773660444,100,,Aggregated,83.200000,83.200000,3,4,5,5,9,30,43,47,74,75,75,1296,1296,3,6.447514278360033,1.788201043382287,75.3359809750691,0.0
1773660445,100,,Aggregated,83.900000,83.900000,3,4,5,5,9,28,43,47,74,75,75,1375,1375,3,6.247573237866163,1.788201043382287,75.3359809750691,0.0
1773660446,100,,Aggregated,83.900000,83.900000,3,4,4,5,8,27,42,45,74,75,75,1455,1455,3,6.085922448620636,1.788201043382287,75.3359809750691,0.0
1773660447,100,,Aggregated,84.100000,84.100000,3,4,4,5,8,27,42,44,74,75,75,1542,1542,3,5.942732633554151,1.788201043382287,75.3359809750691,0.0
