Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[django] GET /admin/,98,98,8,12.278364806160408,2.751557040028274,67.60914507322013,22.0,3.367024720573963,3.367024720573963,8,13,17,20,25,32,38,68,68,68,68
GET,[django] GET /api/events/,394,0,14,31.804957285258673,3.988970071077347,379.72924194764346,435.0,13.536813672511649,0.0,14,27,40,50,67,96,220,310,380,380,380
GET,[django] GET /api/events/{id}/seats,180,0,40,55.55267352352126,17.26315706036985,319.6818419964984,34692.25,6.184331119421565,0.0,40,53,70,80,100,140,180,310,320,320,320
GET,[fastapi] GET /api/events/,318,0,16,30.430285804084964,3.8496650522574782,404.8500390490517,435.0,10.925651644311431,0.0,16,27,37,49,72,85,140,200,400,400,400
GET,[fastapi] GET /api/events/{id}/seats,135,0,41,55.714789427885854,17.03565299976617,348.92753104213625,34693.2,4.638248339566173,0.0,41,59,69,75,92,130,190,330,350,350,350
POST,[fastapi] POST /api/bookings/,225,225,10,17.899645896007616,2.9729300877079368,185.37616997491568,167.64888888888888,7.730413899276956,7.730413899276956,10,16,21,26,41,51,92,120,190,190,190
GET,[pure] GET /api/events/,205,0,16,30.70500565340697,4.090267000719905,377.7322380337864,435.0,7.043265997119004,0.0,16,27,34,42,72,87,140,270,380,380,380
GET,[pure] GET /api/events/{id}/seats,128,0,43,61.36164997406013,17.71869696676731,454.0748620638624,34691.9453125,4.397746573810891,0.0,44,56,63,70,100,150,340,410,450,450,450
POST,[pure] POST /api/bookings/,332,332,10,17.865485070604294,3.081963979639113,198.0306450277567,167.68975903614458,11.406655175821998,11.406655175821998,11,16,21,23,37,55,89,140,200,200,200
POST,[slow-bot] POST /api/bookings/,233,233,11,24.361520139260673,2.8599819634109735,148.28170195687562,205.84549356223175,8.005273060140137,8.005273060140137,11,19,27,36,74,100,140,150,150,150,150
,Aggregated,2248,888,19,31.45731963176658,2.751557040028274,454.0748620638624,7077.9194839857655,77.23542420255377,30.509366855813052,19,30,39,47,72,94,140,210,400,450,450
