Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[django] GET /admin/,211,211,4,6.471049039452491,1.7478188965469599,111.84951104223728,157.0,3.5630678872788537,3.5630678872788537,4,6,6,7,9,13,38,45,110,110,110
GET,[django] GET /api/events/,779,0,16,30.579937279728913,4.90488694049418,193.93666204996407,435.0,13.15464400090155,0.0,16,30,40,46,76,100,130,160,190,190,190
GET,[django] GET /api/events/{id}/seats,411,0,41,55.73133152536821,17.100105062127113,229.18647807091475,34694.06569343065,6.940383420244592,0.0,41,55,70,79,110,140,160,170,230,230,230
GET,[fastapi] GET /api/events/,608,0,17,31.542497059969097,4.682090948335826,173.2895920285955,435.0,10.267039220215844,0.0,17,31,41,52,81,100,140,160,170,170,170
GET,[fastapi] GET /api/events/{id}/seats,329,0,42,52.98919222667236,17.655458068475127,209.55350704025477,34691.60486322189,5.555684051728639,0.0,42,53,64,75,95,110,160,190,210,210,210
POST,[fastapi] POST /api/bookings/,467,467,12,19.751266852306397,3.7951129488646984,157.07505494356155,167.7408993576017,7.886031769474999,7.886031769474999,12,20,25,29,43,52,89,120,160,160,160
GET,[pure] GET /api/events/,431,0,15,28.01597454415509,4.5117579866200686,217.1845189295709,435.0,7.278114973541166,0.0,15,27,36,44,65,89,130,160,220,220,220
GET,[pure] GET /api/events/{id}/seats,273,0,40,52.478272475527376,18.556068069301546,202.71370594855398,34692.46153846154,4.610035702498233,0.0,40,53,64,73,94,130,160,170,200,200,200
POST,[pure] POST /api/bookings/,710,710,11,18.4296710103501,3.4988969564437866,154.22824409324676,167.71408450704226,11.98947014202837,11.98947014202837,11,18,22,25,41,59,84,110,150,150,150
POST,[slow-bot] POST /api/bookings/,486,486,13,22.247367725590696,4.139116033911705,161.94267896935344,205.8148148148148,8.206876745106744,8.206876745106744,13,20,26,30,48,71,110,140,160,160,160
,Aggregated,4705,1874,20,30.653901034337643,1.7478188965469599,229.18647807091475,7707.807863974495,79.45134791301899,31.64544654388897,20,31,40,46,72,100,130,160,200,230,230
