Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773660365,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773660366,20,,Aggregated,0.000000,0.000000,57,68,72,73,98,98,120,120,120,120,120,27,13,57,55.91532678119148,5.550671019591391,124.9020789982751,4120.222222222223
1773660367,40,,Aggregated,0.000000,0.000000,50,68,98,100,150,160,170,170,170,170,170,71,30,50,63.83895602660962,5.2128779934719205,166.9086259789765,6600.154929577465
1773660368,60,,Aggregated,19.000000,12.000000,43,68,99,120,150,160,170,170,170,170,170,130,57,42,60.233043213016714,4.060245933942497,171.53823701664805,7174.692307692308
1773660369,80,,Aggregated,18.500000,10.000000,29,42,59,72,140,150,160,170,170,170,170,204,81,29,45.9864504359133,4.060245933942497,171.53823701664805,7051.308823529412
1773660370,100,,Aggregated,25.333333,11.000000,29,45,67,90,140,150,160,170,170,170,170,300,122,28,46.45606950507499,2.5430460227653384,174.41405600402504,7068.14
1773660371,100,,Aggregated,39.000000,17.000000,25,40,57,71,110,150,160,170,170,170,170,386,158,25,41.99780637598621,2.5430460227653384,174.41405600402504,6897.681347150259
1773660372,100,,Aggregated,45.200000,18.400000,21,34,45,61,110,150,160,170,170,170,170,465,193,21,37.37120974323241,2.5430460227653384,174.41405600402504,6738.202150537634
1773660373,100,,Aggregated,51.833333,21.500000,20,33,43,52,100,140,160,160,170,170,170,546,225,20,35.20038963279315,2.5430460227653384,174.41405600402504,6980.031135531135
1773660374,100,,Aggregated,56.714286,23.285714,20,31,39,46,94,130,160,160,170,170,170,621,249,20,33.20454736933826,2.5430460227653384,174.41405600402504,7006.954911433172
1773660375,100,,Aggregated,59.125000,24.750000,19,30,39,45,82,120,150,160,170,170,170,713,288,19,32.00487171065945,2.5430460227653384,174.41405600402504,6817.68443197756
1773660376,100,,Aggregated,61.444444,25.333333,18,29,37,44,75,110,150,160,170,170,170,787,320,18,30.7199713676988,2.5430460227653384,174.41405600402504,6729.331639135959
1773660377,100,,Aggregated,63.300000,25.500000,18,29,37,45,75,110,150,160,170,170,170,870,357,18,30.614827804256702,2.5430460227653384,174.41405600402504,6747.858620689655
1773660378,100,,Aggregated,69.800000,28.000000,19,31,40,48,78,110,150,160,170,170,170,954,387,19,31.47574123378308,2.0335769513621926,174.41405600402504,6794.227463312369
1773660379,100,,Aggregated,75.800000,30.200000,19,32,40,48,79,110,150,160,170,170,170,1036,426,19,31.524634170215613,2.0335769513621926,174.41405600402504,6711.145752895753
1773660380,100,,Aggregated,80.300000,32.500000,20,33,43,50,80,110,150,160,170,170,170,1117,458,20,32.53330367972912,2.0335769513621926,174.41405600402504,6861.885407341092
