Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[django] GET /admin/,144,144,6,17.310046053252236,2.230864018201828,136.02922507561743,157.0,4.9255201431691145,4.9255201431691145,6,10,17,20,37,80,130,130,140,140,140
GET,[django] GET /api/events/,534,0,160.0,493.4503605793324,4.2835630010813475,3007.1248149033636,435.0,18.265470530918797,0.0,160,330,560,830,1700,2500,2900,2900,3000,3000,3000
GET,[django] GET /api/events/{id}/seats,279,0,190.0,624.3062202975581,19.32553597725928,3075.3066000761464,34693.591397849465,9.543195277390158,0.0,190,360,780,1100,2400,2600,2900,3000,3100,3100,3100
GET,[fastapi] GET /api/events/,396,0,180.0,572.2880293497572,4.324608948081732,3030.860129976645,435.0,13.545180393715064,0.0,180,360,640,900,2300,2700,2900,2900,3000,3000,3000
GET,[fastapi] GET /api/events/{id}/seats,203,0,190.0,450.48616273016694,19.43947491236031,2948.621393996291,34693.6354679803,6.943615201828682,0.0,190,340,490,740,1100,2300,2600,2800,2900,2900,2900
POST,[fastapi] POST /api/bookings/,336,336,110.0,449.13086715712865,4.327698959968984,2956.537647987716,167.77380952380952,11.492880334061267,11.492880334061267,110,270,410,740,1800,2300,2500,2800,3000,3000,3000
GET,[pure] GET /api/events/,258,0,170.0,532.4725868620787,5.0308589125052094,3023.032092023641,435.0,8.82489025651133,0.0,180,380,660,840,2200,2600,2900,2900,3000,3000,3000
GET,[pure] GET /api/events/{id}/seats,179,0,160.0,569.1823816667024,18.66736588999629,2931.9102299632505,34691.77653631285,6.122695177967163,0.0,160,440,660,880,2400,2600,2900,2900,2900,2900,2900
POST,[pure] POST /api/bookings/,482,482,120.0,474.6484051775419,4.302119021303952,2961.355109931901,167.74896265560167,16.48681047921884,16.48681047921884,120,340,480,780,1900,2300,2800,2800,3000,3000,3000
POST,[slow-bot] POST /api/bookings/,395,395,240.0,638.7380186586252,4.3436759151518345,2916.5612990036607,205.80506329113925,13.510975392720834,13.510975392720834,240,520,890,1200,2300,2500,2800,2800,2900,2900,2900
,Aggregated,3206,1357,150.0,508.2666622146169,2.230864018201828,3075.3066000761464,7389.2875857766685,109.66123318750125,46.416186349170054,150,330,550,830,2000,2500,2900,2900,3000,3100,3100
