Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773660582,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773660583,50,,Aggregated,0.000000,0.000000,280,340,370,400,420,430,450,470,470,470,470,55,25,280.0,277.37477271690625,32.333423965610564,469.1847150679678,9042.127272727274
1773660584,100,,Aggregated,0.000000,0.000000,250,330,350,370,410,420,430,450,470,470,470,147,67,250.0,249.02421721260438,6.765709025785327,469.1847150679678,8709.21768707483
1773660585,150,,Aggregated,0.000000,0.000000,290,350,380,410,460,520,530,540,550,550,550,257,119,290.0,280.9153043321635,4.2547560296952724,545.7550039282069,7781.743190661478
1773660586,200,,Aggregated,29.000000,14.000000,300,350,380,410,470,520,540,560,560,560,560,414,198,300.0,277.22612231467053,2.7007730677723885,559.8307140171528,7428.758454106281
1773660587,200,,Aggregated,49.333333,22.333333,210,320,350,370,440,500,530,550,560,560,560,561,259,210.0,219.9251597660881,2.7007730677723885,559.8307140171528,7216.565062388592
1773660588,200,,Aggregated,64.250000,29.750000,150,260,330,350,420,480,530,540,560,560,560,710,319,150.0,195.612567638434,2.7007730677723885,559.8307140171528,7508.392957746479
1773660589,200,,Aggregated,84.200000,40.200000,160,220,290,330,400,470,530,540,560,560,560,876,387,160.0,186.05984882403752,2.7007730677723885,559.8307140171528,7556.057077625571
1773660590,200,,Aggregated,96.666667,44.666667,130,200,250,300,380,450,520,530,560,560,560,1026,460,130.0,165.85937714565918,2.7007730677723885,559.8307140171528,7631.736842105263
1773660591,200,,Aggregated,103.142857,46.142857,110,180,220,270,370,440,520,530,560,560,560,1176,515,110.0,152.2476619970153,2.7007730677723885,559.8307140171528,7604.693027210885
1773660592,200,,Aggregated,110.875000,49.125000,99,160,200,240,360,420,510,530,560,560,560,1347,581,99,141.13667724906787,2.7007730677723885,559.8307140171528,7673.964365256124
1773660593,200,,Aggregated,115.333333,51.444444,100,150,190,230,340,420,490,530,560,560,560,1497,638,100.0,137.91480918457506,2.387181972153485,559.8307140171528,7785.366065464262
1773660594,200,,Aggregated,118.100000,51.800000,91,140,180,210,340,410,480,530,560,560,560,1646,692,91,129.49654672414806,2.230864018201828,559.8307140171528,7798.361482381531
1773660595,200,,Aggregated,136.100000,58.700000,78,130,170,200,320,400,480,530,560,560,560,1817,764,78,120.99591485460698,2.230864018201828,559.8307140171528,7641.923500275178
1773660596,200,,Aggregated,144.700000,61.200000,69,120,160,190,300,390,470,530,560,560,560,1976,835,69,114.02244912607733,2.230864018201828,559.8307140171528,7538.207995951417
1773660597,200,,Aggregated,150.500000,62.800000,74,120,160,190,290,380,470,520,560,560,560,2103,880,74,114.94509148779244,2.230864018201828,559.8307140171528,7445.718972895863
1773660598,200,,Aggregated,156.600000,64.700000,83,140,180,220,350,410,470,520,560,560,560,2245,944,83,129.00979951556093,2.230864018201828,559.8307140171528,7315.390645879733
1773660599,200,,Aggregated,155.900000,63.600000,90,150,200,250,350,410,470,520,560,560,560,2351,994,90,135.24275946233584,2.230864018201828,559.8307140171528,7349.435984687367
1773660600,200,,Aggregated,152.400000,61.200000,96,160,230,280,390,490,620,710,790,800,800,2455,1029,96,154.67309728335937,2.230864018201828,800.4524779971689,7429.586150712831
1773660602,200,,Aggregated,152.400000,62.200000,100,170,250,310,420,590,830,940,1100,1200,1200,2525,1062,100.0,173.85320738349847,2.230864018201828,1164.8525400087237,7435.790891089109
1773660603,200,,Aggregated,146.400000,60.100000,100,180,260,320,440,660,950,1200,1700,1700,1700,2559,1079,100.0,187.2670377262378,2.230864018201828,1742.268665926531,7448.172723720203
