Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773677791,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773677792,30,,Aggregated,0.000000,0.000000,670,680,680,680,690,690,690,690,690,690,690,11,6,670.0,559.7844602942297,56.82398600038141,686.9574009906501,245.0909090909091
1773677793,60,,Aggregated,0.000000,0.000000,370,670,690,1100,1200,1200,1300,1300,1300,1300,1300,79,18,370.0,500.55000113317436,3.424298018217087,1273.4292360255495,11606.316455696202
1773677794,90,,Aggregated,2.000000,2.000000,78,180,360,400,1100,1200,1200,1300,1300,1300,1300,181,46,78,250.7865129479912,3.018105053342879,1273.4292360255495,11111.662983425414
1773677795,100,,Aggregated,19.500000,6.000000,39,69,140,240,430,1100,1200,1300,1300,1300,1300,283,69,39,168.09004105219466,2.1766299614682794,1273.4292360255495,10490.636042402826
1773677796,100,,Aggregated,43.000000,11.000000,27,51,71,130,380,1100,1200,1200,1300,1300,1300,378,96,26,131.09501077646942,2.1766299614682794,1273.4292360255495,11285.513227513227
1773677797,100,,Aggregated,54.250000,13.500000,26,52,74,94,330,680,1200,1200,1300,1300,1300,479,120,26,112.70782216607607,2.1766299614682794,1273.4292360255495,11333.51356993737
1773677798,100,,Aggregated,62.800000,15.600000,22,43,61,76,200,430,1100,1200,1300,1300,1300,577,142,22,96.28115919663972,2.1766299614682794,1273.4292360255495,10885.849220103986
1773677799,100,,Aggregated,68.833333,16.833333,18,34,53,65,160,400,1100,1200,1300,1300,1300,675,178,18,84.16233976112886,2.1766299614682794,1273.4292360255495,10463.096296296297
1773677800,100,,Aggregated,72.428571,18.285714,18,29,47,59,140,370,1100,1200,1300,1300,1300,766,206,18,76.14461171067522,2.1766299614682794,1273.4292360255495,10284.546997389034
1773677801,100,,Aggregated,75.125000,18.750000,18,29,44,54,120,360,1100,1200,1300,1300,1300,864,238,18,70.06398586721237,2.1766299614682794,1273.4292360255495,10141.59375
1773677802,100,,Aggregated,78.111111,20.666667,20,36,54,68,140,330,690,1200,1300,1300,1300,951,254,20,72.17431032418574,2.1766299614682794,1273.4292360255495,10288.838065194532
1773677803,100,,Aggregated,79.600000,21.400000,19,35,51,63,130,300,680,1100,1300,1300,1300,1051,288,19,67.73580683337225,2.1766299614682794,1273.4292360255495,10056.209324452902
1773677804,100,,Aggregated,88.200000,23.700000,21,41,62,80,200,350,680,1100,1300,1300,1300,1132,305,21,78.32226816611282,2.1766299614682794,1273.4292360255495,10117.243816254417
1773677805,100,,Aggregated,93.600000,25.100000,21,40,60,76,190,330,670,1100,1300,1300,1300,1232,329,21,75.62839732597607,2.1766299614682794,1273.4292360255495,10155.87987012987
1773677806,100,,Aggregated,93.500000,26.000000,20,37,56,71,180,330,670,1100,1300,1300,1300,1338,362,20,70.9458799685229,2.1766299614682794,1273.4292360255495,9887.70702541106
1773677807,100,,Aggregated,94.500000,25.500000,19,34,52,66,160,310,450,1100,1300,1300,1300,1432,384,19,67.52299045667172,2.1766299614682794,1273.4292360255495,9882.228351955308
1773677808,100,,Aggregated,94.700000,25.500000,19,32,49,62,150,300,420,1100,1300,1300,1300,1530,413,19,64.18743132411204,2.1766299614682794,1273.4292360255495,9714.586274509804
1773677809,100,,Aggregated,94.500000,26.600000,18,30,46,58,140,290,410,1100,1300,1300,1300,1630,436,18,61.43306992438113,2.1766299614682794,1273.4292360255495,9789.265644171779
1773677810,100,,Aggregated,94.600000,26.000000,18,29,44,55,130,280,410,1100,1300,1300,1300,1727,461,18,58.97505148309895,2.1766299614682794,1273.4292360255495,9831.308627678054
1773677811,100,,Aggregated,94.900000,26.800000,18,29,42,54,120,270,400,1100,1300,1300,1300,1831,492,18,56.77239049310226,2.1766299614682794,1273.4292360255495,9813.317859093391
