Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773662740,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773662741,30,,Aggregated,0.000000,0.000000,110,130,590,590,840,950,950,950,950,950,950,11,10,110.0,279.64065483220935,54.07475004903972,945.1456280658022,53330.545454545456
1773662742,60,,Aggregated,0.000000,0.000000,310,1000,1100,1200,1400,1400,1400,1400,1400,1400,1400,59,28,310.0,557.2545487054829,4.756324924528599,1415.7618889585137,35178.30508474576
1773662743,90,,Aggregated,9.000000,8.000000,150,320,1100,1200,1400,1500,1600,1600,1600,1600,1600,135,48,150.0,466.33093643726573,4.756324924528599,1631.7681609652936,16037.296296296296
1773662744,100,,Aggregated,27.000000,14.000000,170,350,730,1100,1400,1500,1600,1600,1800,1800,1800,201,76,170.0,452.49386401198325,4.756324924528599,1763.419535011053,11066.522388059702
1773662745,100,,Aggregated,44.333333,15.666667,180,410,740,1100,1400,1500,1700,2000,2200,2200,2200,235,91,180.0,461.1012761010491,4.756324924528599,2188.5890630073845,9649.829787234043
1773662746,100,,Aggregated,48.250000,18.250000,230,700,1100,1300,1500,1600,2000,3100,3700,3700,3700,282,110,220.0,572.16978492174,4.756324924528599,3670.389755978249,13773.90780141844
1773662747,100,,Aggregated,46.200000,17.800000,320,1000,1300,1400,1600,1800,2400,3100,4200,4200,4200,322,126,310.0,662.7023553964538,4.756324924528599,4153.8147940300405,14623.568322981366
1773662748,100,,Aggregated,46.166667,18.333333,340,1100,1400,1500,1700,2200,2800,3300,4200,4200,4200,368,150,340.0,734.3348409903347,4.756324924528599,4153.8147940300405,16616.758152173912
1773662749,100,,Aggregated,45.571429,17.857143,480,1200,1400,1500,1900,2300,2800,3100,4200,4200,4200,444,173,470.0,803.631337124095,4.756324924528599,4153.8147940300405,17483.20945945946
1773662750,100,,Aggregated,44.500000,17.875000,520,1100,1400,1500,1900,2200,2800,3100,4200,4200,4200,490,200,500.0,788.0346819877207,4.756324924528599,4153.8147940300405,19066.451020408163
1773662751,100,,Aggregated,47.777778,18.666667,420,920,1300,1400,1700,2100,2600,2900,4200,4200,4200,604,301,420.0,700.3315102919205,3.171927062794566,4153.8147940300405,16493.508278145695
1773662752,100,,Aggregated,48.300000,19.600000,200,780,1100,1300,1600,2100,2600,2900,4200,4200,4200,698,395,200.0,607.4534213524993,3.171927062794566,4153.8147940300405,14284.80659025788
1773662753,100,,Aggregated,57.600000,27.400000,100,610,950,1200,1600,2000,2500,2900,4200,4200,4200,796,493,100.0,533.8759523472426,3.171927062794566,4153.8147940300405,12537.50376884422
1773662754,100,,Aggregated,63.300000,35.600000,68,410,830,1100,1500,1900,2400,2800,4200,4200,4200,898,595,68,475.4522713300521,3.171927062794566,4153.8147940300405,11123.967706013364
1773662755,100,,Aggregated,64.100000,42.400000,39,230,710,970,1500,1900,2300,2800,4200,4200,4200,990,687,38,432.1062906715793,3.171927062794566,4153.8147940300405,10098.877777777778
1773662756,100,,Aggregated,67.900000,49.600000,24,150,590,870,1400,1800,2300,2700,3700,4200,4200,1095,792,24,391.4578374166926,3.0933560337871313,4153.8147940300405,9139.365296803653
1773662757,100,,Aggregated,74.100000,58.000000,17,99,450,740,1400,1700,2200,2700,3700,4200,4200,1191,888,17,360.54980889106236,3.0933560337871313,4153.8147940300405,8410.13518052057
1773662758,100,,Aggregated,79.500000,65.900000,14,72,320,660,1300,1600,2200,2600,3700,4200,4200,1292,989,14,332.92231966482603,3.0933560337871313,4153.8147940300405,7759.931114551084
1773662759,100,,Aggregated,85.100000,74.200000,14,63,200,560,1300,1600,2200,2600,3700,4200,4200,1392,1089,14,310.79513841257136,3.0933560337871313,4153.8147940300405,7209.130028735633
1773662760,100,,Aggregated,91.400000,82.400000,14,50,160,460,1300,1600,2100,2500,3700,4200,4200,1476,1173,14,294.1956521648545,3.0933560337871313,4153.8147940300405,6804.099593495935
