Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773676383,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773676384,30,,Aggregated,0.000000,0.000000,170,200,220,220,230,240,240,240,240,240,240,36,10,170.0,151.17187342709965,3.6234220024198294,236.153535079211,1862.0277777777778
1773676385,60,,Aggregated,0.000000,0.000000,150,220,230,240,270,290,300,300,300,300,300,102,26,150.0,139.36043639014494,3.6234220024198294,302.17656097374856,1555.3725490196077
1773676386,90,,Aggregated,30.000000,9.000000,84,160,200,210,240,270,290,300,300,300,300,200,46,83,103.25623046490364,3.4225990530103445,302.17656097374856,1463.06
1773676387,100,,Aggregated,42.500000,11.000000,23,87,140,180,220,260,280,290,300,300,300,308,71,23,75.4185820662858,3.4225990530103445,302.17656097374856,1523.6753246753246
1773676388,100,,Aggregated,56.000000,14.000000,13,39,90,120,210,240,270,290,300,300,300,402,94,13,60.359599845731786,3.4225990530103445,302.17656097374856,1511.995024875622
1773676389,100,,Aggregated,62.000000,14.500000,11,19,50,90,200,230,270,290,300,300,300,505,125,11,49.846951514344184,2.7952929958701134,302.17656097374856,1503.590099009901
1773676390,100,,Aggregated,73.200000,17.200000,10,15,27,58,180,220,270,290,300,300,300,598,152,10,43.366811420055214,2.7952929958701134,302.17656097374856,1505.1020066889632
1773676391,100,,Aggregated,78.166667,18.833333,10,13,19,38,160,220,260,280,300,300,300,698,181,10,38.362952205585984,2.7952929958701134,302.17656097374856,1477.6232091690545
1773676392,100,,Aggregated,80.714286,20.571429,9,12,17,25,120,210,250,270,300,300,300,801,213,9,34.69457373531133,2.7952929958701134,302.17656097374856,1477.4194756554307
1773676393,100,,Aggregated,82.500000,21.125000,9,12,15,21,99,210,240,270,300,300,300,903,240,9,31.943638599658197,2.7952929958701134,302.17656097374856,1461.3687707641195
1773676394,100,,Aggregated,84.111111,22.777778,9,12,15,18,90,200,240,270,300,300,300,999,261,9,29.76733199586426,2.7952929958701134,302.17656097374856,1458.5465465465466
1773676395,100,,Aggregated,85.600000,22.400000,9,12,14,17,74,190,230,270,300,300,300,1099,297,9,27.82683269043637,2.3584880400449038,302.17656097374856,1448.0081892629664
1773676396,100,,Aggregated,92.700000,24.300000,9,12,15,18,65,180,230,270,300,300,300,1204,329,9,26.9978314472217,2.3584880400449038,302.17656097374856,1416.1602990033223
1773676397,100,,Aggregated,97.600000,26.000000,9,12,16,19,55,170,230,270,300,300,300,1298,358,9,26.27054831384034,2.3584880400449038,302.17656097374856,1413.3389830508474
1773676398,100,,Aggregated,98.900000,27.400000,10,13,17,21,54,160,220,260,300,300,300,1398,382,10,26.19292065571162,2.3584880400449038,302.17656097374856,1418.038626609442
1773676399,100,,Aggregated,100.400000,28.800000,10,13,17,21,53,150,220,260,300,300,300,1494,414,10,25.55395118336454,2.3584880400449038,302.17656097374856,1407.1539491298527
1773676400,100,,Aggregated,98.300000,28.600000,10,13,16,20,49,120,220,260,300,300,300,1591,439,10,24.466259970337312,2.3584880400449038,302.17656097374856,1409.0163419233186
1773676401,100,,Aggregated,97.900000,28.400000,10,12,16,19,46,110,220,250,300,300,300,1705,471,10,23.761358905291388,2.3584880400449038,302.17656097374856,1416.925513196481
1773676402,100,,Aggregated,98.300000,28.500000,9,12,15,19,42,100,220,250,300,300,300,1799,496,9,22.931547841616805,2.3584880400449038,302.17656097374856,1420.4530294608116
1773676403,100,,Aggregated,99.100000,28.900000,9,12,15,18,39,95,210,240,300,300,300,1895,522,9,22.268453867685807,2.3584880400449038,302.17656097374856,1410.577308707124
