Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773662306,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773662307,30,,Aggregated,0.000000,0.000000,230,910,910,990,990,990,990,990,990,990,990,5,5,230.0,482.594144414179,92.26614504586905,990.2290870668367,77881.2
1773662308,60,,Aggregated,0.000000,0.000000,1200,1400,1500,1600,1900,1900,1900,1900,1900,1900,1900,22,22,1200.0,1161.5660575176166,92.26614504586905,1910.49074602779,123587.72727272728
1773662309,90,,Aggregated,3.000000,3.000000,800,1100,1200,1400,1600,1900,1900,1900,1900,1900,1900,45,29,800.0,856.8011877747873,35.56802403181791,1910.49074602779,65478.24444444444
1773662310,100,,Aggregated,5.500000,5.500000,1200,1900,2400,2500,2900,3400,3900,3900,4000,4000,4000,125,57,1200.0,1426.6435950286686,29.109175084158778,3964.1572679392993,45315.64
1773662311,100,,Aggregated,9.666667,8.666667,800,1800,2100,2400,2800,3200,3800,3900,4000,4000,4000,176,81,800.0,1185.591987733708,29.109175084158778,3964.1572679392993,32495.613636363636
1773662312,100,,Aggregated,15.500000,8.500000,740,1500,1900,2100,2700,3200,3700,3900,4000,4000,4000,202,106,720.0,1130.4952958385497,29.109175084158778,3964.1572679392993,36028.569306930694
1773662313,100,,Aggregated,30.800000,13.600000,920,1600,1900,2100,2600,3000,3700,3900,4000,4000,4000,236,119,910.0,1160.2100988157424,13.471834012307227,3964.1572679392993,34582.67372881356
1773662314,100,,Aggregated,30.000000,14.166667,1200,1800,2100,2300,2700,3000,3500,3900,4000,4000,4000,281,131,1200.0,1249.8268610748107,13.471834012307227,3964.1572679392993,31306.398576512456
1773662315,100,,Aggregated,29.714286,15.285714,1200,1800,2100,2400,2700,3000,3500,3900,4000,4000,4000,296,140,1100.0,1248.6960681012165,13.471834012307227,3964.1572679392993,29770.925675675677
1773662316,100,,Aggregated,31.625000,15.125000,1200,1900,2300,2500,2900,3500,4300,4400,4900,4900,4900,328,159,1200.0,1370.2351619491621,13.471834012307227,4906.130113056861,32854.96341463415
1773662317,100,,Aggregated,32.000000,15.000000,1500,2100,2400,2600,3100,3500,4300,4400,4900,4900,4900,388,176,1500.0,1494.6834172848876,13.471834012307227,4906.130113056861,33404.67268041237
1773662318,100,,Aggregated,30.600000,14.500000,1300,2000,2400,2500,3000,3400,4000,4400,4900,4900,4900,449,202,1300.0,1420.5389139110239,5.672895931638777,4906.130113056861,32014.331848552338
1773662319,100,,Aggregated,34.600000,16.300000,1200,1900,2200,2400,2900,3400,4000,4400,4900,4900,4900,496,220,1200.0,1362.8982324099202,5.5292530450969934,4906.130113056861,31405.09072580645
1773662320,100,,Aggregated,40.400000,17.200000,1100,1700,2100,2400,2800,3300,3900,4300,4900,4900,4900,564,248,1100.0,1294.1246751789995,5.5292530450969934,4906.130113056861,30821.879432624115
1773662321,100,,Aggregated,43.200000,18.400000,1100,1600,2000,2200,2800,3300,3800,4300,4900,4900,4900,614,273,1100.0,1244.327116403266,5.5292530450969934,4906.130113056861,30933.815960912052
1773662322,100,,Aggregated,46.000000,19.500000,920,1300,1800,2100,2700,3200,3700,4300,4900,4900,4900,712,352,910.0,1131.7871971271038,4.9827779876068234,4906.130113056861,27814.037921348314
1773662323,100,,Aggregated,42.500000,18.600000,730,1200,1700,1900,2600,3100,3600,4000,4900,4900,4900,812,452,730.0,993.6531894558437,4.603115958161652,4906.130113056861,24400.07266009852
1773662324,100,,Aggregated,46.300000,20.500000,480,1100,1400,1800,2500,3000,3500,4000,4900,4900,4900,914,554,480.0,887.7065782009826,4.603115958161652,4906.130113056861,21687.434354485777
1773662325,100,,Aggregated,53.700000,27.800000,240,950,1300,1700,2400,2900,3500,3900,4800,4900,4900,1013,653,240.0,803.1506930657883,4.603115958161652,4906.130113056861,19577.078973346495
1773662326,100,,Aggregated,59.200000,36.400000,120,830,1200,1500,2400,2800,3400,3900,4800,4900,4900,1108,748,120.0,735.6742855578758,4.603115958161652,4906.130113056861,17906.555054151624
