Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773662337,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773662338,30,,Aggregated,0.000000,0.000000,150,180,200,200,200,200,200,200,200,200,200,40,7,150.0,125.95610810385551,5.252167931757867,204.68369300942868,1251.75
1773662339,60,,Aggregated,0.000000,0.000000,98,150,160,180,200,200,210,220,220,220,220,115,24,98,94.87803638811506,3.6761959781870246,218.81983999628574,1321.3478260869565
1773662340,90,,Aggregated,30.000000,5.000000,26,130,150,160,200,200,200,210,220,220,220,209,43,26,77.74640147297968,3.541194018907845,218.81983999628574,1349.5502392344497
1773662341,100,,Aggregated,43.000000,7.500000,19,53,110,140,180,200,200,210,220,220,220,317,70,19,59.3235006193081,2.8848840156570077,218.81983999628574,1357.2555205047317
1773662342,100,,Aggregated,57.666667,12.666667,23,51,90,100,160,200,200,200,220,220,220,414,90,23,55.863684792676715,2.8848840156570077,218.81983999628574,1397.0555555555557
1773662343,100,,Aggregated,66.500000,14.250000,23,41,71,92,150,190,200,200,220,220,220,504,116,23,50.31993402314136,2.8848840156570077,218.81983999628574,1413.8392857142858
1773662344,100,,Aggregated,71.800000,15.800000,23,41,61,80,140,180,200,200,220,220,220,599,145,23,47.6919090706087,2.8848840156570077,218.81983999628574,1420.7078464106844
1773662345,100,,Aggregated,75.333333,16.666667,27,48,70,86,150,180,200,210,270,270,270,692,176,27,50.714478988672816,2.8848840156570077,269.14285600651056,1415.4913294797689
1773662346,100,,Aggregated,79.000000,18.714286,27,43,59,76,140,170,200,200,270,270,270,786,191,27,47.81206773547218,2.8848840156570077,269.14285600651056,1425.1386768447837
1773662347,100,,Aggregated,80.125000,20.000000,23,40,52,68,120,170,200,200,270,270,270,894,218,23,44.16908685433609,2.8848840156570077,269.14285600651056,1397.9597315436242
1773662348,100,,Aggregated,82.000000,20.222222,22,36,48,60,110,160,200,200,270,270,270,990,237,22,41.86797510489182,2.8848840156570077,269.14285600651056,1401.0737373737375
1773662349,100,,Aggregated,83.300000,20.400000,20,33,44,55,99,160,200,200,260,270,270,1085,263,20,39.44026679186846,2.8848840156570077,269.14285600651056,1397.6276497695853
1773662350,100,,Aggregated,90.900000,22.500000,20,32,43,52,97,150,200,200,260,270,270,1185,286,20,38.15420242665013,2.8848840156570077,269.14285600651056,1411.3350210970464
1773662351,100,,Aggregated,95.000000,23.600000,19,31,42,50,92,150,200,200,260,270,270,1287,318,19,36.692996311277184,2.8848840156570077,269.14285600651056,1403.3263403263404
1773662352,100,,Aggregated,96.700000,23.500000,18,28,40,47,88,150,200,200,260,270,270,1386,350,18,35.05467875529024,2.8848840156570077,269.14285600651056,1379.9119769119768
1773662353,100,,Aggregated,96.100000,24.100000,17,27,36,44,81,140,190,200,260,270,270,1483,369,17,33.612044096455875,2.8848840156570077,269.14285600651056,1372.2414025623737
1773662354,100,,Aggregated,97.400000,25.300000,17,24,34,42,78,130,190,200,260,270,270,1586,394,17,32.21862481824506,2.8848840156570077,269.14285600651056,1391.7717528373266
1773662355,100,,Aggregated,97.900000,25.900000,16,23,32,40,75,120,180,200,260,270,270,1681,420,16,31.077052505214848,2.8848840156570077,269.14285600651056,1394.493753718025
1773662356,100,,Aggregated,97.700000,25.100000,16,23,31,38,71,120,180,200,260,270,270,1780,444,16,30.172737267619166,2.8848840156570077,269.14285600651056,1419.7219101123596
1773662357,100,,Aggregated,98.100000,24.200000,16,23,31,38,68,110,180,200,260,270,270,1877,464,16,29.824680470120704,2.8848840156570077,269.14285600651056,1417.8945125199787
