Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773662368,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773662369,30,,Aggregated,0.000000,0.000000,120,160,170,180,180,200,200,200,200,200,200,45,14,120.0,103.18812408174078,4.132183967158198,198.09120695572346,1888.3777777777777
1773662370,60,,Aggregated,0.000000,0.000000,89,130,140,150,180,180,200,200,200,200,200,107,26,89,81.95340482814011,3.762798965908587,198.09120695572346,1889.7009345794393
1773662371,90,,Aggregated,37.000000,12.000000,51,120,140,160,190,210,240,240,240,240,240,211,54,51,79.29149819195923,3.762798965908587,244.12629497237504,1819.6729857819905
1773662372,100,,Aggregated,49.500000,13.000000,30,64,110,130,180,200,230,240,240,240,240,316,77,30,62.50886838585492,3.762798965908587,244.12629497237504,1886.8417721518988
1773662373,100,,Aggregated,63.666667,16.000000,30,52,82,120,170,200,240,250,260,260,260,384,94,30,59.73897726926225,3.762798965908587,263.841214007698,1853.2083333333333
1773662374,100,,Aggregated,73.000000,17.750000,44,79,140,160,240,300,400,430,470,470,470,498,135,43,86.972280992915,3.762798965908587,472.7430329658091,1843.066265060241
1773662375,100,,Aggregated,76.000000,18.600000,33,63,99,140,220,290,400,420,470,470,470,599,161,33,76.22847578080933,3.762798965908587,472.7430329658091,1879.5475792988314
1773662376,100,,Aggregated,78.333333,21.500000,28,50,77,120,200,270,390,420,470,470,470,698,187,28,68.19540947604989,3.762798965908587,472.7430329658091,1899.2106017191977
1773662377,100,,Aggregated,81.857143,22.571429,21,43,67,87,190,250,370,410,470,470,470,790,205,21,61.56009028818977,3.762798965908587,472.7430329658091,1947.3835443037974
1773662378,100,,Aggregated,84.625000,22.375000,19,35,55,74,180,240,350,400,470,470,470,892,224,19,56.04704304529362,3.762798965908587,472.7430329658091,2001.25
1773662379,100,,Aggregated,85.777778,22.333333,17,31,49,67,160,240,320,400,470,470,470,987,240,17,51.769067749396164,3.6944770254194736,472.7430329658091,2026.4417426545085
1773662380,100,,Aggregated,86.900000,22.000000,16,27,44,59,150,230,320,400,470,470,470,1083,265,16,48.586753710295184,3.6944770254194736,472.7430329658091,2004.0433979686056
1773662381,100,,Aggregated,92.100000,22.500000,15,24,38,50,140,220,310,400,470,470,470,1192,290,15,45.338176584340815,3.6944770254194736,472.7430329658091,1985.4060402684563
1773662382,100,,Aggregated,95.700000,23.400000,15,22,34,46,130,200,300,390,470,470,470,1287,313,15,43.03040174977592,3.6944770254194736,472.7430329658091,1976.6643356643356
1773662383,100,,Aggregated,97.100000,23.500000,14,20,32,42,120,200,290,390,470,470,470,1384,335,14,40.905759974252945,3.6944770254194736,472.7430329658091,1986.1329479768785
1773662384,100,,Aggregated,97.600000,23.600000,14,19,28,39,110,190,290,390,470,470,470,1478,360,14,39.03065435840409,3.6944770254194736,472.7430329658091,1990.052097428958
1773662385,100,,Aggregated,98.000000,23.900000,14,19,28,37,90,190,280,370,470,470,470,1576,386,14,37.7544684157273,3.6944770254194736,472.7430329658091,2000.127538071066
1773662386,100,,Aggregated,98.800000,22.600000,14,19,26,34,82,180,270,350,470,470,470,1675,413,14,36.40184415990848,3.590950043871999,472.7430329658091,1991.5020895522389
1773662387,100,,Aggregated,98.200000,22.000000,14,19,27,34,78,180,260,350,470,470,470,1767,440,14,35.75411748743748,3.590950043871999,472.7430329658091,1978.8941709111489
1773662388,100,,Aggregated,96.900000,22.400000,15,21,29,36,72,170,260,330,470,470,470,1858,462,15,35.51670217440956,3.590950043871999,472.7430329658091,1974.0678148546824
