Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773661978,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773661979,30,,Aggregated,0.000000,0.000000,720,830,910,920,930,940,940,940,940,940,940,19,17,720.0,519.2297541132001,28.970462968572974,938.1894809193909,112294.05263157895
1773661980,60,,Aggregated,0.000000,0.000000,410,830,920,1400,1700,1800,1900,1900,1900,1900,1900,45,30,410.0,643.7119170480097,28.970462968572974,1867.782601970248,56721.0
1773661981,90,,Aggregated,17.000000,15.000000,500,930,1500,1600,1900,1900,2000,2400,2500,2500,2500,108,55,500.0,802.3058290310911,14.147248934023082,2527.4997600354254,39195.38888888889
1773661982,100,,Aggregated,21.500000,14.500000,360,760,1400,1500,1800,1900,2000,2400,2500,2500,2500,170,78,350.0,696.5731251163079,9.15226899087429,2527.4997600354254,25409.95882352941
1773661983,100,,Aggregated,21.500000,14.500000,330,650,1200,1500,1700,1900,2000,2400,2500,2500,2500,193,99,330.0,640.9446196099791,9.15226899087429,2527.4997600354254,22416.715025906735
1773661984,100,,Aggregated,41.500000,19.250000,350,760,1400,1600,1900,2100,3300,3900,4000,4000,4000,209,110,350.0,765.2023782431144,9.15226899087429,3990.310800028965,28133.06698564593
1773661985,100,,Aggregated,38.600000,19.800000,450,1400,1700,1900,2300,2700,3300,3900,4100,4100,4100,254,126,430.0,952.8535343294112,9.15226899087429,4077.5739219971,27201.350393700788
1773661986,100,,Aggregated,38.600000,19.800000,630,1600,2000,2300,2800,3100,3400,3900,4100,4100,4100,307,146,630.0,1117.9207368933592,9.15226899087429,4077.5739219971,25245.28664495114
1773661987,100,,Aggregated,36.000000,18.000000,740,1700,2000,2300,2800,3100,3400,3900,4400,4400,4400,346,166,730.0,1146.6101200593705,9.15226899087429,4360.47952005174,26428.87572254335
1773661988,100,,Aggregated,38.375000,18.250000,950,1700,1900,2200,2800,3100,3400,4000,4400,4400,4400,397,180,950.0,1185.8593084000788,9.15226899087429,4360.47952005174,26196.98992443325
1773661989,100,,Aggregated,38.000000,18.444444,1000,1700,1900,2200,2700,3000,3400,3900,4400,4400,4400,449,203,1000.0,1170.5776281840995,9.15226899087429,4360.47952005174,25916.955456570155
1773661990,100,,Aggregated,39.400000,18.000000,1000,1600,1900,2000,2600,3000,3400,3900,4400,4400,4400,499,222,1000.0,1148.5503263142098,9.15226899087429,4360.47952005174,25415.376753507015
1773661991,100,,Aggregated,42.800000,18.500000,1000,1600,1800,2000,2500,2900,3400,3900,4400,4400,4400,537,237,1000.0,1138.8129343519774,9.15226899087429,4360.47952005174,25496.87150837989
1773661992,100,,Aggregated,45.400000,19.100000,1100,1600,1800,1900,2500,2900,3300,3900,4400,4400,4400,587,255,1100.0,1150.4542445032137,9.15226899087429,4360.47952005174,26063.427597955706
1773661993,100,,Aggregated,43.500000,18.400000,1200,1600,1800,1900,2400,2900,3300,3600,4400,4400,4400,641,282,1200.0,1142.1277436524754,7.563121034763753,4360.47952005174,25788.555382215287
1773661994,100,,Aggregated,41.700000,17.600000,1200,1600,1800,1900,2400,2900,3300,3600,4400,4400,4400,684,301,1200.0,1137.5876091386951,7.563121034763753,4360.47952005174,25641.09356725146
1773661995,100,,Aggregated,44.300000,17.900000,1200,1600,1800,1900,2400,2800,3300,3400,4400,4400,4400,736,323,1200.0,1132.2654858853164,7.563121034763753,4360.47952005174,25774.347826086956
1773661996,100,,Aggregated,47.400000,19.200000,1100,1500,1700,1900,2400,2800,3300,3400,4400,4400,4400,806,357,1100.0,1100.9841504065948,7.563121034763753,4360.47952005174,25087.508684863522
1773661997,100,,Aggregated,47.900000,19.600000,1100,1500,1700,1800,2300,2700,3300,3400,4400,4400,4400,848,382,1100.0,1092.8776450330263,7.563121034763753,4360.47952005174,25257.755896226416
1773661998,100,,Aggregated,49.200000,20.600000,980,1500,1700,1800,2300,2700,3100,3400,4400,4400,4400,954,484,980.0,1044.5268710681523,5.275891977362335,4360.47952005174,23274.421383647797
