Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773662541,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773662542,30,,Aggregated,0.000000,0.000000,130,140,150,160,170,170,170,170,170,170,170,39,13,130.0,107.36456085951664,4.159779055044055,173.07438096031547,1808.3076923076924
1773662543,60,,Aggregated,0.000000,0.000000,100,130,150,150,160,170,170,170,180,180,180,115,31,100.0,79.57128014455995,4.159779055044055,180.35743292421103,2051.634782608696
1773662544,90,,Aggregated,0.000000,0.000000,22,120,140,150,160,180,190,190,200,200,200,209,50,22,71.07949904366686,4.159779055044055,196.53534004464746,2021.2583732057417
1773662545,100,,Aggregated,57.000000,15.500000,27,100,130,150,160,180,210,230,250,250,250,295,72,27,68.98789648913731,4.159779055044055,245.44594204053283,1932.2338983050847
1773662546,100,,Aggregated,69.666667,16.666667,48,100,130,150,170,190,240,250,280,280,280,397,98,48,73.74682120236355,4.159779055044055,284.82553001958877,1962.3954659949623
1773662547,100,,Aggregated,69.666667,16.666667,48,88,110,130,160,190,230,250,280,280,280,502,128,47,69.04886311116773,4.159779055044055,284.82553001958877,1942.288844621514
1773662548,100,,Aggregated,79.000000,19.400000,37,73,100,120,160,180,220,240,280,280,280,602,145,36,62.60966109920238,4.159779055044055,284.82553001958877,1953.5481727574752
1773662549,100,,Aggregated,83.666667,21.333333,28,63,87,110,150,170,220,240,280,280,280,693,165,28,56.321401434613215,4.159779055044055,284.82553001958877,1973.2380952380952
1773662550,100,,Aggregated,85.857143,20.714286,21,48,77,94,150,170,210,240,280,280,280,793,196,21,50.85393489974999,4.051991039887071,284.82553001958877,1952.029003783102
1773662551,100,,Aggregated,86.250000,20.500000,18,37,66,84,140,160,200,230,280,280,280,893,216,18,46.552019225055936,4.051991039887071,284.82553001958877,1965.2844344904815
1773662552,100,,Aggregated,88.000000,21.777778,16,30,58,77,130,160,190,230,280,280,280,988,238,16,43.10421660358203,3.7976029561832547,284.82553001958877,1959.9524291497976
1773662553,100,,Aggregated,89.100000,21.500000,15,25,47,67,130,160,190,230,270,280,280,1090,262,15,40.1201013107186,3.7976029561832547,284.82553001958877,1975.81376146789
1773662554,100,,Aggregated,94.600000,22.500000,15,23,39,62,120,160,190,220,270,280,280,1193,291,15,37.898089805592946,3.4777619875967503,284.82553001958877,1981.3160100586756
1773662555,100,,Aggregated,97.200000,23.100000,14,22,34,53,110,150,190,220,270,280,280,1290,316,14,36.051076365537334,3.4777619875967503,284.82553001958877,1979.3
1773662556,100,,Aggregated,97.200000,23.100000,14,20,31,46,110,150,180,220,270,280,280,1379,336,14,34.49895859583186,3.4777619875967503,284.82553001958877,1977.8027556200145
1773662557,100,,Aggregated,98.800000,24.300000,14,20,30,42,100,150,180,220,270,280,280,1480,359,14,33.54296174979567,3.257250995375216,284.82553001958877,1966.9682432432433
1773662558,100,,Aggregated,98.400000,23.900000,14,19,28,37,100,150,180,210,270,280,280,1580,387,14,32.25276112163003,3.257250995375216,284.82553001958877,1968.2993670886076
1773662559,100,,Aggregated,97.700000,23.100000,14,19,27,36,94,140,170,210,270,280,280,1674,410,14,31.41638082990383,3.257250995375216,284.82553001958877,1973.9916367980884
1773662560,100,,Aggregated,97.800000,24.200000,14,20,29,39,93,140,170,200,270,280,280,1773,439,14,31.83302296182688,3.257250995375216,284.82553001958877,1971.2859560067682
1773662561,100,,Aggregated,98.100000,24.600000,14,21,30,39,89,130,170,200,270,280,280,1874,470,14,31.65642338260221,3.257250995375216,284.82553001958877,1974.910885805763
